// GENEL KISIM
15000 tl altında 6 gb ram android telefon öner -> price:<=15000; brand:none; os:android; usage:none; ram:>=6; storage:none; battery:none; camera:none; screen:none;
10000 tl 4 gb ram iphone telefon öner -> price:<=10000; brand:none; os:ios; usage:none; ram:4; storage:none; battery:none; camera:none; screen:none;
25000 tl hafızası iyi olan oyun için telefon android -> price:<=25000; brand:none; os:android; usage: game; ram:none; storage:none; battery:good; camera:none; screen:none;
fotoğraf çekmek için 20000 tl altında samsung telefon -> price:<=20000; brand:samsung; usage: photo; ram:none; storage:none; battery:none; camera:good; screen:none;
8 gb ram oyun telefonu 30000 tl bütçe -> price:<=30000;  os:andorid; brand:none; usage: game; ram:8; storage:none; battery:none; camera:none; screen:none;
12000 tl huawei telefon 128 gb depolama -> price:12000; brand:huawei; os:android; usage:none; ram:none; storage: 128; camera:none; screen:none;
15000 liralik android telefon öner -> price:<= 15000; brand:none; os:android; usage:none; ram:none; battery:none; camera:none; screen:none; 
15000 liralık apple telefon öner -> price<= 15000; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
25000 tl yi geçmeyen oyuncu telefon öner -> price:<= 25000; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
15000 tl lik xiaomi telefon öner -> price:<= 15000; brand:xiaomi; os:andorid; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
bataryası iyi olan max 12000 tl android telefon öner -> price:<= 12000; brand:none; os:andorid; usage:none; ram:none; battery:good; camera:none; screen:none; 
hafızası ve bataryası iyi olan android telefon öner -> price:any; brand:none; os:andorid; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none; 
hafıza ve batarya iyi olan 6 gb ram ve üzeri olan gaming android telefon öner -> price:any; brand:none; os:andorid; usage:game; ram:>= 6; storage:good; battery:good;  
hızlı telefon performans -> price:any; brand:none; os:android; usage: game; ram:none; storage:none; battery:none; camera:none; screen:none;
oyun oynamak için android telefon öner -> price:any; brand:none; os:android; usage: game; ram:none; storage:none; battery:none; camera:none; screen:none;
15000 tl altında 6 gb ram android telefon -> price:<=15000; brand:none; os:android; usage:none; ram:6; storage:none; battery:none; camera:none; screen:none; 
pahalı iphone telefon -> price:>=30000; brand:apple; os:ios; ram:none; storage:none; battery:none; camera:none; screen:none; 
kamerası iyi olan android telefon öner -> price:any; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera: good; screen:none; 
15000 tl den az 6 gb ram android telefon öner -> price:<=15000; brand:none; os:android; usage:none; ram:6gb; storage:none; battery:none; camera:none; screen:none;
25000 tl hafızası iyi olan oyun için telefon android -> price:<=25000; brand:none; os:android; usage:game; ram:none; storage:good; battery:none; camera:none; screen:none;
fotoğraf çekmek için samsung telefon -> price:any; brand:samsung; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;  
fotoğraf çekmek için samsung telefon -> price:any; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;  
fotoğraf çekmek için apple telefon  -> price:any; brand:apple; os:ios; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
fotoğraf çekmek için iphone telefon -> price:any; brand:apple; os:ios; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
hafızası ve bataryası iyi olan android telefon -> price:any; brand:none; os:android; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none;
hafızası ve bataryası iyi olan xiaomi telefon -> price:any; brand:xiaomi; os:android; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none;
iyi fotoğraf çeken telefon -> price:any; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
iyi fotoğraf çeken android telefon -> price:any; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
uzun süre oyun oynayabileceğim oyuncu telefonları -> price: any; brand: none; os:android; usage:game; ram: 8; storage:none; battery:good; camera:none; screen:none;
hafızasını sık sık kullanacağım bir iphone telefon öner -> price: any; brand:apple; os:ios; usage:none; ram: none; storage:good; battery:good; camera:none; screen:none;
bataryası iyi dayanan bir apple marka telefon -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
bataryası ve hafızası iyi dayanan bir apple marka telefon -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none;
rahat oyun oynayabileceğim şarjı erken bitmeyen bir android telefon -> pricy: any; brand:none; os:android; usage:game; ram: 8; storage:none; battery:good; camera:none; screen none;
kasmayan ısınmayan bataryası iyi dayanan xiaomi -> price:any; brand:xiaomi; os:android; usage:none; ram: 6; storage: good; battery:good; camera:none; screen:none;
kasmayan ısınmayan bataryası iyi dayanan android -> price:any; brand:none; os:android; usage:none; ram: 6; storage: good; battery:good; camera:none; screen:none;
günlük hayatta işimi gören çabuk şarjı bitmeyen ve hafızası hemen dolmayan android telefon -> price: any; brand:none; os:android; usage:none; ram:6; storage:good; battery:good; camera:none; screen:none;
güzel fotoğraflar çekmek için büyük ekranlı iphone -> price:any; brand:apple; os:ios; usage:photo; ram: 6; storage: none; battery:none; camera:good; screen:none;

// -------------------------------------- GEMINININ EKLEDIGI KISIMLAR BURASI -------------------------------------------------------------------------------------
15000 tl altında 6 gb ram android telefon öner -> price:<=15000; brand:none; os:android; usage:none; ram:>=6; storage:none; battery:none; camera:none; screen:none;
10000 tl 4 gb ram iphone telefon öner -> price:<=10000; brand:none; os:ios; usage:none; ram:4; storage:none; battery:none; camera:none; screen:none;
25000 tl hafızası iyi olan oyun için telefon android -> price:<=25000; brand:none; os:android; usage:game; ram:none; storage:good; battery:none; camera:none; screen:none;
fotoğraf çekmek için 20000 tl altında samsung telefon -> price:<=20000; brand:samsung; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
8 gb ram oyun telefonu 30000 tl bütçe -> price:<=30000; os:android; brand:none; usage:game; ram:8; storage:none; battery:none; camera:none; screen:none;
12000 tl huawei telefon 128 gb depolama -> price:12000; brand:huawei; os:android; usage:none; ram:none; storage:128; camera:none; screen:none;
15000 liralik android telefon öner -> price:<=15000; brand:none; os:android; usage:none; ram:none; battery:none; camera:none; screen:none; 
15000 liralık apple telefon öner -> price:<=15000; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
25000 tl yi geçmeyen oyuncu telefon öner -> price:<=25000; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
15000 tl lik xiaomi telefon öner -> price:<=15000; brand:xiaomi; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
bataryası iyi olan max 12000 tl android telefon öner -> price:<=12000; brand:none; os:android; usage:none; ram:none; battery:good; camera:none; screen:none; 
hafızası ve bataryası iyi olan android telefon öner -> price:any; brand:none; os:android; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none; 
hafıza ve batarya iyi olan 6 gb ram ve üzeri olan gaming android telefon öner -> price:any; brand:none; os:android; usage:game; ram:>=6; storage:good; battery:good; camera:none; screen:none; 
hızlı telefon performans -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
oyun oynamak için android telefon öner -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
15000 tl altında 6 gb ram android telefon -> price:<=15000; brand:none; os:android; usage:none; ram:6; storage:none; battery:none; camera:none; screen:none; 
pahalı iphone telefon -> price:>=30000; brand:apple; os:ios; ram:none; storage:none; battery:none; camera:none; screen:none; 
kamerası iyi olan android telefon öner -> price:any; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
15000 tl den az 6 gb ram android telefon öner -> price:<=15000; brand:none; os:android; usage:none; ram:6; storage:none; battery:none; camera:none; screen:none; 
25000 tl hafızası iyi olan oyun için telefon android -> price:<=25000; brand:none; os:android; usage:game; ram:none; storage:good; battery:none; camera:none; screen:none; 
fotoğraf çekmek için samsung telefon -> price:any; brand:samsung; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
fotoğraf çekmek için android telefon -> price:any; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
fotoğraf çekmek için apple telefon -> price:any; brand:apple; os:ios; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
fotoğraf çekmek için iphone telefon -> price:any; brand:apple; os:ios; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
bütçe önemli değil kamera iyi android -> price:any; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
