input,output
6 gb üzeri android telefon öner,os: android; ram >= 6
6 gb ram ve fiyatı 10000 tl'den ucuz bir telefon istiyorum,ram: 6; price <= 10000
en az 8 gb rami olan iphone modeli önerir misin,os: ios; ram >= 8
12 gb ram ve en az 256 gb depolama alanı olan bir android telefon,os: android; ram: 12; storage >= 256
"bütçem 15000 tl, android ve ram 8 gb olsun",os: android; ram: 8; price <= 15000
iphone istiyorum ama fiyatı 20000 tl'yi geçmesin,os: ios; price <= 20000
en az 5000 mah bataryası olan bir android telefon,os: android; battery >= 5000
hem uygun fiyatlı hem de iyi kamerası olan bir telefon,price: affordable; camera: good
gaming için ram 12 gb ve ekran boyutu büyük olsun,ram: 12; screen_size: large; purpose: gaming
hafif ve batarya ömrü uzun olan bir iphone,os: ios; weight: light; battery: long-lasting
"4 gb ram yeterli, ama depolama alanı büyük olsun",ram: 4; storage: large
hem android hem de 5g destekli olsun,os: android; network: 5g
amoled ekranlı ve en az 8 gb ram olan bir telefon,screen_type: amoled; ram >= 8
öğrenci için uygun fiyatlı bir android telefon,os: android; price: budget; purpose: student
fotoğraf çekimi için iyi bir iphone modeli,os: ios; camera: good; purpose: photography
8 gb ram ve batarya ömrü iyi olan bir telefon öner,ram: 8; battery: long-lasting
oyun için güçlü bir telefon ama 15000 tl altında,purpose: gaming; performance: high; price <= 15000
en az 12 gb rami olan ve hızlı şarj desteği bulunan telefon,ram >= 12; charging: fast
su geçirmez özelliği olan bir samsung telefon,brand: samsung; feature: waterproof
gece fotoğrafçılığı için iyi bir kamerası olan telefon,camera: good; feature: night_photography
6 gb ram android ve en fazla 8000 tl,os: android; ram: 6; price <= 8000
iyi bir işlemcisi olan ve 12 gb ram bulunan telefon,processor: good; ram: 12
minimum 128 gb depolama ve nfc özellikli,storage >= 128; feature: nfc
çocuklar için dayanıklı ve ucuz bir telefon,durability: high; price: low; purpose: children
4500 mah üzeri batarya ve android,os: android; battery >= 4500
8 gb ramli telefon istiyorum,ram: 8
5000 mah bataryalı ve ucuz bir telefon,battery: 5000; price: cheap
iyi kamerası olan bir iphone arıyorum,camera: good; os: ios
oyun oynamak için uygun fiyatlı bir android,purpose: gaming; price: affordable; os: android
selfie için iyi bir kamera ve uzun batarya,purpose: selfie; camera: good; battery: long_lasting
12 gb ram ve en fazla 15000 tl fiyatı olan telefon,ram: 12; price <= 15000
en az 4000 mah bataryası olan bir iphone,battery >= 4000; os: ios
hem uygun fiyatlı hem de kamerası iyi olan bir android,price: affordable; camera: good; os: android
oyun için 16 gb ramli telefon,purpose: gaming; ram: 16
batarya ömrü çok uzun bir iphone,battery: very_long_lasting; os: ios
4 gb ram yeterli ama kamerası iyi olsun,ram: 4; camera: good
en az 8 gb ramli telefon,ram >= 8
fotoğraf çekimi için iyi bir iphone modeli,purpose: photography; camera: good; os: ios
8 gb ram ve batarya ömrü iyi olan bir telefon öner,ram: 8; battery: long_lasting
oyun için güçlü bir telefon ama 15000 tl altında,purpose: gaming; price <= 15000
6 gb ram android ve en fazla 8000 tl,ram: 6; os: android; price <= 8000
4500 mah üzeri batarya ve android,battery >= 4500; os: android
en fazla 15000 tl,price <= 15000
bütçem 15000 tl,price: 15000
fiyat önemli değil ama kamerası iyi olsun,price: high; camera: good
12 gb ramli telefon istiyorum,ram: 12
ramı yüksek bir android,ram: high; os: android
4 gb ramli ucuz telefon,ram: 4; price: cheap
en az 6 gb ramli iphone,ram >= 6; os: ios
oyun için 12 gb ram şart,purpose: gaming; ram: 12
8 gb ram altı olmasın,ram >= 8
16 gb ramli cihaz,ram: 16
düşük ramli bir android arıyorum,ram: low; os: android
ramı 6 gb olan telefon,ram: 6
ramı 10 gb olan telefon,ram: 10
ramı 14 gb olan telefon,ram: 14
ramı 18 gb olan telefon,ram: 18
ram olarak 8 gb ve üzeri,ram >= 8
ram olarak 12 gb ve üzeri,ram >= 12
ramı yüksek android telefon,ram: high; os: android
ramı düşük iphone,ram: low; os: ios
ramı 20 gb olan telefon,ram: 20
ramı en az 10 gb,ram >= 10
ramı 4 gb bir android,ram: 4; os: android
ramı 8 gb bir iphone,ram: 8; os: ios
ramı 12 gb bir android,ram: 12; os: android
ramı 16 gb bir android,ram: 16; os: android
ramı 6 gb olsun,ram: 6
ram 8 gb olsun,ram: 8
bataryası çok uzun giden telefon,battery: very_long_lasting
6000 mah bataryalı bir android,battery: 6000; os: android
pil ömrü çok önemli bir iphone,battery: very_important; os: ios
4500 mah üzeri batarya istiyorum,battery >= 4500
şarjı iki gün giden bir telefon,battery: two_days
bataryası güçlü bir telefon öner,battery: powerful
pil kapasitesi yüksek telefon,battery: high_capacity
3000 mah bataryalı ve ucuz,battery: 3000; price: cheap
bataryası zayıf olmasın,battery: not_weak
pil ömrü harika olsun,battery: excellent_life
5500 mah bataryalı telefon,battery: 5500
7000 mah bataryalı telefon,battery: 7000
bataryası uzun giden bir telefon,battery: long_lasting
bataryası güçlü bir android,battery: powerful; os: android
bataryası bitmeyen iphone,battery: never_ending; os: ios
bataryası 4000 mah olan telefon,battery: 4000
bataryası 8000 mah olan telefon,battery: 8000
bataryası 9000 mah olan telefon,battery: 9000
bataryası 10000 mah olan telefon,battery: 10000
en az 5000 mah batarya,battery >= 5000
en az 6000 mah batarya,battery >= 6000
batarya ömrü uzun android,battery: long_lasting; os: android
batarya ömrü uzun iphone,battery: long_lasting; os: ios
uygun fiyatlı bir android,price: affordable; os: android
en fazla 10000 tl'ye telefon,price <= 10000
ucuz bir iphone var mı,price: cheap; os: ios
orta segment bir telefon arıyorum,price: mid_range
20000 tl üzeri bir telefon,price >= 20000
bütçe dostu android telefon,price: budget; os: android
pahalı bir iphone,price: expensive; os: ios
12000 tl civarı bir telefon,price: 12000
17500 tl'den pahalı olmasın,price <= 17500
fiyat aralığı 8000-12000 tl arası,price: 8000-12000
en pahalı telefon,price: most_expensive
en ucuz telefon,price: cheapest
3000 tl altı telefon,price <= 3000
